82625;-3033;49616;0
82736;-3003;49508;0
82955;-2944;49296;0
83063;-2915;49191;0
83276;-2859;48984;0
83380;-2831;48884;0
83589;-2776;48681;0
83694;-2748;48580;0
83905;-2693;48378;0
84010;-2666;48277;0
84221;-2611;48074;0
84327;-2584;47973;0
84538;-2529;47770;0
84644;-2502;47668;0
84856;-2448;47465;0
84964;-2421;47361;0
85182;-2366;47151;0
85288;-2339;47049;0
85501;-2286;46845;0
85607;-2259;46743;0
85820;-2207;46538;0
85927;-2180;46435;0
86144;-2127;46226;0
86254;-2100;46120;0
86477;-2046;45905;0
86590;-2018;45797;0
86815;-1964;45580;0
86925;-1937;45473;0
87141;-1885;45266;0
87248;-1859;45162;0
87467;-1806;44951;0
87580;-1779;44842;0
87806;-1725;44624;0
87920;-1698;44514;0
88146;-1643;44296;0
88258;-1617;44188;0
88481;-1563;43973;0
88597;-1535;43861;0
88834;-1479;43632;0
88950;-1451;43521;0
89178;-1396;43299;0
89290;-1369;43190;0
89507;-1317;42980;0
89615;-1291;42874;0
89838;-1237;42658;0
89953;-1210;42546;0
90183;-1155;42322;0
90297;-1127;42212;0
90515;-1075;42000;0
90623;-1049;41895;0
90839;-998;41685;0
90947;-972;41580;0
91163;-920;41369;0
91272;-894;41264;0
91488;-842;41053;0
91597;-816;40948;0
91814;-764;40737;0
91924;-738;40630;0
92147;-684;40413;0
92259;-657;40304;0
92477;-604;40093;0
92586;-578;39987;0
92804;-525;39775;0
92913;-499;39669;0
93133;-445;39456;0
93247;-418;39345;0
93473;-362;39125;0
93585;-335;39017;0
93804;-282;38804;0
93913;-255;38698;0
94132;-202;38485;0
94241;-175;38379;0
94460;-121;38166;0
94570;-94;38059;0
94790;-41;37845;0
94908;-12;37731;0
95142;46;37503;0
95258;74;37390;0
95490;131;37165;0
95606;159;37052;0
95837;216;36828;0
95953;244;36715;0
96182;300;36493;0
96295;328;36382;0
96519;382;36165;0
96629;409;36057;0
96850;463;35842;0
96965;491;35731;0
97202;548;35501;0
97322;577;35384;0
97561;635;35151;0
97682;664;35033;0
97922;722;34800;0
98039;750;34686;0
98272;806;34460;0
98390;835;34345;0
98622;891;34120;0
98737;918;34008;0
98965;974;33786;0
99079;1001;33674;0
99306;1056;33454;0
99422;1083;33342;0
99654;1139;33116;0
99770;1167;33003;0
100005;1223;32775;0
100122;1251;32661;0
100350;1305;32440;0
100465;1333;32329;0
100696;1387;32104;0
100810;1414;31994;0
101044;1470;31767;0
101162;1498;31653;0
101398;1553;31424;0
101517;1582;31308;0
101758;1639;31075;0
101876;1667;30960;0
102109;1722;30735;0
102222;1748;30625;0
102448;1802;30405;0
102561;1829;30296;0
102788;1883;30076;0
102901;1910;29966;0
103127;1964;29747;0
